"","well","BYauc","BYmu","sample","solvent","control","control2","auc","run","plate","A","mu","lambda","rel_fitness","rel_max_GR","DT","BYrel_auc","BYrel_mu","con_rel_auc","con_rel_mu"
"1","A01",15866.637,3.4486392057103e-05,"H2O control ","H2O",1,"H2O",9092.303,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.434,2.12567642566804e-05,30146.723640797,1,1,9.05786417744008,0.573045378173081,0.61638121556709,0.0845953329346233,0.685702072796141
"2","A02",837.916,1.33435590551256e-06,"Cetylpyridinium chloride","H2O",1,"case",4590.166,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.162,9.81707425054681e-06,2628.50322883752,0.504840852752048,0.461832955006856,19.6128580241867,5.47807417449959,7.35716326505542,0.0427071800175586,0.316679814533768
"3","A03",3280.94,1.67785940818405e-05,"Tamoxifen","H2O",1,"case",8736.682,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.246,1.47374924070342e-05,4323.85501509286,0.960887687090938,0.693308361944251,13.0646977227262,2.66285942443324,0.878350851993289,0.0812866138022381,0.47540298087207
"4","A04",14459.154,2.79087959299401e-05,"Sodium Fluoride","H2O",1,"case",15064.232,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.633,3.3434014126527e-05,30108.3756509537,1.6568114810956,1.57286469957532,5.75883239027853,1.04184739992395,1.19797407994444,0.140158518853189,1.07851658472668
"5","A05",16686.1445,7.50685809373359e-05,"5-Fluorocytosine","H2O",1,"case",11988.084,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.528,2.90269712040065e-05,30440.1214072226,1.31848707637658,1.36554043943373,6.63317168490173,0.718445414397556,0.386672704366651,0.111537853196075,0.936353909806661
"6","A06",9813.652,4.11419215523072e-05,"Azaserine*","H2O",1,"case",10993.4195,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.474,2.50590549995294e-05,30809.9928639937,1.20909075511452,1.17887439014402,7.683485410463,1.12021696917722,0.609088104153562,0.102283434977088,0.808356612888044
"7","A07",16867.126,5.62446624846028e-05,"H2O control ","H2O-2",2,"H2O",12055.9025,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.497,3.03881705776048e-05,30413.6304004511,1,1,6.33604721275227,0.714757362931895,0.540285410832071,0.112168840591307,0.980263567019511
"8","A08",916.7705,1.24217487517691e-06,"Cetylpyridinium chloride","H2O-2",2,"case",8360.4065,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.241,1.41654022662347e-05,3347.92237699208,0.693469982856945,0.466148570216142,13.5923343276895,9.11941047404994,11.4037101774558,0.0777857239619367,0.45694846020112
"9","A09",3269.8055,2.56335894879603e-05,"Tamoxifen","H2O-2",2,"case",8130.1975,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.227,1.3407700810611e-05,3829.79180235491,0.674374854972492,0.441214477731412,14.3604698679206,2.48644682382484,0.523052021914776,0.0756438456061949,0.432506477761644
"10","A10",16905.9905,7.62364075998369e-05,"Sodium Fluoride","H2O-2",2,"case",13336.647,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.528,2.92941290085991e-05,27887.9809479176,1.10623381368587,0.963997781103282,6.57267821249625,0.7888710809343,0.384253795933871,0.124084964304043,0.944971903503197
"11","A11",16132.8245,7.23621607049417e-05,"5-Fluorocytosine","H2O-2",2,"case",12402.725,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.517,3.6979069689538e-05,31537.3557440768,1.02876785873144,1.21689028943356,5.20675303909407,0.768788193288782,0.511027715719007,0.115395697951506,1.19287321579155
