"","well","BYauc","BYmu","sample","solvent","control","control2","auc","run","plate","A","mu","lambda","rel_fitness","rel_max_GR","DT","BYrel_auc","BYrel_mu","con_rel_auc","con_rel_mu"
"1","A01",85648.5255,3.60949868269675e-05,"H2O control ","H2O",1,"H2O",134592.216,"SR1_results_MITACS DRUG RUN 2","S1L2",0.972,7.54242696718987e-05,14167.4752205681,1,1,2.55277093601889,1.57144813894082,2.08960513085843,1.287583798236,1.67609488159775
"2","A02",3703.0175,2.59194660237047e-06,"Cetylpyridinium chloride","H2O",1,"case",40236.6755,"SR1_results_MITACS DRUG RUN 2","S1L2",0.36,1.61948793719469e-05,14081.9733255471,0.298952470624304,0.214717085659508,11.8889976928385,10.8659155675068,6.24815316686532,0.384926357618479,0.359886208265486
"3","A03",130620.833,3.94417149238157e-05,"Tamoxifen","H2O",1,"case",103596.3295,"SR1_results_MITACS DRUG RUN 2","S1L2",1.071,2.9637687957521e-05,69470.3111570379,0.769705207171862,0.392946303443802,6.49648797722811,0.793107248826074,0.751430002847702,0.991059954172376,0.658615287944912
"4","A04",60627.668,1.42464980242588e-05,"Sodium Fluoride","H2O",1,"case",171561.848,"SR1_results_MITACS DRUG RUN 2","S1L2",1.48,4.38157787103641e-05,12486.6983485542,1.27467882689442,0.580924136235804,4.39432754948004,2.82976161972781,3.07554731245216,1.64125580546373,0.973683971341424
"5","A05",134101.222,4.11951139987303e-05,"5-Fluorocytosine","H2O",1,"case",131254.2495,"SR1_results_MITACS DRUG RUN 2","S1L2",1.002,4.10035632034377e-05,22194.5461019734,0.975199409005941,0.543638849693956,4.69571101744473,0.978769973475708,0.995350157416763,1.25565095908538,0.911190293409727
"6","A06",75498.433,2.13971054331387e-05,"Azaserine*","H2O",1,"case",106200.7855,"SR1_results_MITACS DRUG RUN 2","S1L2",0.876,2.32224620890179e-05,38443.2981895335,0.789055925046958,0.307891109718892,8.29114857635738,1.40666211575544,1.08530857884413,1.01597562499259,0.516054713089286
"7","A07",121097.0515,3.7429940335202e-05,"H2O control ","H2O-2",2,"H2O",135024.854,"SR1_results_MITACS DRUG RUN 2","S1L2",1.038,4.18156920509804e-05,22449.6617534006,1,1,4.60451266127878,1.11501355588332,1.11717228711833,1.2917226533337,0.929237601132898
"8","A08",4457.5185,9.09425368539255e-06,"Cetylpyridinium chloride","H2O-2",2,"case",39189.2935,"SR1_results_MITACS DRUG RUN 2","S1L2",0.318,1.80996678744072e-05,13694.5345368621,0.290237629140484,0.432843915445441,10.6378130706545,8.79172873875902,1.99023124937447,0.374906520410627,0.402214841653492
"9","A09",135373.431,3.60520452657826e-05,"Tamoxifen","H2O-2",2,"case",135285.936,"SR1_results_MITACS DRUG RUN 2","S1L2",0.994,4.0225196674667e-05,23138.6534926822,1.00193358476062,0.961964150339199,4.78657407311403,0.999353676719622,1.11575352738296,1.29422030857114,0.893893259437044
"10","A10",63382.036,1.08664832550142e-05,"Sodium Fluoride","H2O-2",2,"case",173892.0595,"SR1_results_MITACS DRUG RUN 2","S1L2",1.673,6.19435552616078e-05,15994.2235690619,1.28785223126403,1.48134712648276,3.1083279394557,2.74355433296589,5.70042338518534,1.66354790127009,1.37652345025795
"11","A11",70111.9355,2.80942169768561e-05,"5-Fluorocytosine","H2O-2",2,"case",126419.8845,"SR1_results_MITACS DRUG RUN 2","S1L2",0.974,6.90002689322399e-05,14210.5004922439,0.936271217890004,1.65010467477417,2.7904367108765,1.80311502739787,2.45603103973611,1.20940274181285,1.53333930960533
"12","A12",42025.6725,8.10988454230417e-05,"Azaserine*","H2O-2",2,"case",111530.9355,"SR1_results_MITACS DRUG RUN 2","S1L2",0.867,3.26169713813086e-05,16071.4005599812,0.826003007564815,0.780017495382904,5.90308895445795,2.65387628240809,0.402187863602328,1.06696679659324,0.724821586251301
"13","B01",82649.6425,3.28738313114633e-05,"DMSO control","DMSO",1,"DMSO",63886.262,"SR1_results_MITACS DRUG RUN 2","S1L2",0.561,1.65096045534651e-05,36596.6920649055,1,1,11.662355864754,0.772976870408121,0.502211147737689,0.61117142079792,0.366880101188114
"14","B02",4453.3995,2.5339864264146e-06,"Compound 48/80*","H2O",1,"case",103566.971,"SR1_results_MITACS DRUG RUN 2","S1L2",0.838,2.23741190862172e-05,19346.3169133619,0.769487077915412,0.29664349662975,8.60551795344119,23.2557108339371,8.82961283966896,0.99077909447585,0.497202646360383
"15","B03",124217.9885,3.73342325386401e-05,"EDTA","DMSO",1,"case",104873.098,"SR1_results_MITACS DRUG RUN 2","S1L2",0.85,2.11701654014678e-05,17932.1857495029,1.64155946391104,1.28229391157794,9.09491635221347,0.844266593481346,0.56704434407637,1.00327422988278,0.470448120032618
