"","sample","well","solvent","control","control2","plate","auc","rel_fit_off_plate","rel_fit_on_plate","rel_fit_to_by","run","A","mu","lambda","percent_inhib_off_plate","percent_inhib_onplate","DT"
"1","2-Deoxy-D-glucose","H03","H2O",1,"case","S1L1",532804.140244461,7.24230885138595,0.931457318549305,1.39827610774742,"2020-02-24_drug_run_5",3.76579033942608,0.000123286908001026,11447.0399303097,-127.366785265786,15.1210213045581,1.56173016754764
"2","2-Deoxy-D-glucose","H03","H2O",1,"case","S1L2",564246.902022511,7.22357418373626,0.898119650130154,1.48079360195396,"2020-02-24_drug_run_5",3.85230232811158,0.00023028649241411,2585.62434777907,-416.52251006024,-13.2612394377,0.836092822772425
"3","2-Deoxy-D-glucose","H03","H2O",1,"case","S2L1",516180.769623059,6.40039432489494,0.84276966411667,1.35465020431605,"2020-02-24_drug_run_5",4.45527519098307,0.000824988556004201,34327.4116635735,-1061.19899157882,-26.3473886604275,0.233386126495424
"4","2-Deoxy-D-glucose","H03","H2O",1,"case","S2L2",598951.266948349,12.2586812867056,1.04306102770814,1.57187075516091,"2020-02-24_drug_run_5",4.43633526216302,9.87673730321378e-05,10047.6678879703,-270.407553846221,-10.1657747951157,1.94943813506332
"5","2-Deoxy-D-glucose","H03","H2O",1,"case","S3L1",527092.58426341,5.5504022060712,0.959288426055803,1.38328686186299,"2020-02-24_drug_run_5",4.03046528072705,9.78626287720466e-05,14743.0700182623,-40.469566945305,8.10420195666789,1.96746077542392
"6","2-Deoxy-D-glucose","H03","H2O",1,"case","S3L2",599029.229326274,10.2808349014117,0.988776959895137,1.57207535741927,"2020-02-24_drug_run_5",4.13647851834917,0.000168674251998755,12480.5961580892,-320.507630899364,-6.04818376037429,1.14149540435072
"7","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S1L1",516534.018544293,7.02115207443563,0.92055393857975,1.27283178191014,"2020-02-24_drug_run_5",3.65344223860392,0.000342094964221301,24315.6171218756,-530.894500736153,-12.6941345908608,0.562828757000699
"8","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S1L2",614293.250190034,7.86427510263784,0.969059722748423,1.5137279330765,"2020-02-24_drug_run_5",4.12081559554025,0.00019052490885864,2070.86797843137,-327.339020717281,7.96003030460992,1.01058116044936
"9","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S2L1",610451.116244209,7.56930147337413,0.956226806946402,1.5042602310065,"2020-02-24_drug_run_5",4.39231742277876,0.000155270078784083,14880.5930981577,-118.547830262899,68.536202111169,1.24003855086993
"10","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S2L2",612762.833227499,12.5413613617457,1.12470392014015,1.50995671321575,"2020-02-24_drug_run_5",4.45230327288719,0.000104485940058152,3722.1032007021,-291.853911672527,-18.6784540205527,1.84274442457727
"11","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S3L1",531022.757796603,5.59178780795623,0.917515561555537,1.30853461490481,"2020-02-24_drug_run_5",4.11981615314427,8.81695040411373e-05,13347.7247946701,-26.5562984138696,11.9785283759946,2.1837582686077
"12","2-Deoxy-D-glucose","H09","H2O-2",2,"case","S3L2",588770.622562062,10.1047716355507,1.02753296705116,1.45083563472548,"2020-02-24_drug_run_5",4.15177765473205,0.000153095859239858,13270.9506116449,-281.670446476503,56.7001686493611,1.25764919080677
"13","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S1L1",544219.405140991,7.39747445119365,0.951413680048623,1.20214196508504,"2020-02-24_drug_run_5",3.76474875067974,0.000150846135699208,12969.955237304,-178.191752066732,-3.85259997108721,1.27640580646233
"14","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S1L2",637784.017049034,8.16500745301603,1.01516969999745,1.40881953916459,"2020-02-24_drug_run_5",4.29132705281935,0.000181285070685094,3967.55053271956,-306.614468634702,10.8390093483107,1.06208902234058
"15","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S2L1",548206.700372402,6.79750052776115,0.895058483245592,1.21094961670419,"2020-02-24_drug_run_5",3.88392944716521,0.000150058445079998,17314.8515059403,-111.212281475443,77.0184779603109,1.28310594839383
"16","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S2L2",157558.608750702,3.22473776287741,0.274385001646461,0.348035762323772,"2020-02-24_drug_run_5",2.65562770490002,4.11698507117568e-05,101618.847920937,-54.3994056558931,54.0788788582629,4.6767447576362
"17","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S3L1",491622.143392266,5.17689057046995,0.89473357476277,1.08595835421155,"2020-02-24_drug_run_5",3.62401527728493,9.1422853422397e-05,15339.7247011042,-31.2260746547247,14.1513345792167,2.10604762683665
"18","3-Amino-1,2,4- triazole","D05","H2O",1,"case","S3L2",584197.526766067,10.0262859113736,0.964295273443802,1.2904507928056,"2020-02-24_drug_run_5",3.96050255744359,0.000172919760157182,11636.1085941594,-331.09175121713,-8.7174022332942,1.11346952663973
"19","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S1L1",492493.921876675,6.69437945438021,0.877710282834518,1.22755625630633,"2020-02-24_drug_run_5",4.37291813256614,0.000408047162859529,29995.61759549,-652.524117608851,-34.4203414259066,0.471859385419024
"20","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S1L2",636374.488749793,8.14696245853375,1.00389331225969,1.58618299702421,"2020-02-24_drug_run_5",4.26918663281539,0.000180066694446933,2820.50255404011,-303.881704128475,13.0122502126936,1.06927538199252
"21","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S2L1",550118.314621547,6.82120362890642,0.861719907516491,1.37118682855842,"2020-02-24_drug_run_5",3.895604788062,0.000151595816258567,16771.4782456102,-113.376182840188,69.2807515723315,1.27009364928957
"22","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S2L2",311802.446793046,6.38163241414525,0.572302064030752,0.777177194053313,"2020-02-24_drug_run_5",3.23925107207813,4.52573879427768e-05,11789.8512563145,-69.7289079046248,48.5952193082831,4.25435254311012
"23","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case","S3L1",480189.652614695,5.05650389851288,0.829684740066612,1.19688748651875,"2020-02-24_drug_run_5",3.56131123265651,8.83780389408393e-05,15396.9782475741,-26.8556241873715,11.7703435965024,2.17860552006321
