"","compound","plate","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_auc","ave_rel_inhib_off_Plate","ave_rel_inhib","ave_rel_fit","ave_rel_fit_off_plate","ave_rel_fit_to_by"
"1","2-Deoxy-D-glucose","S1L1",0.576,1.52277627883098e-05,28374.1017996346,12.6769930892951,68453.85625,80.9016816957276,58.6026395186535,0.675920000215198,0.762583799231374,1
"2","3-Amino-1,2,4- triazole","S1L1",0.7045,3.2237434850268e-05,25390.8494104398,6.02731364898468,84108.21725,59.5685327751288,12.1281474637668,0.855478859286383,0.936975173799399,1
"3","4-Aminopyridine","S1L1",0.431,1.7120147568251e-05,36303.5940999076,13.9779241715467,44669.8185,78.5282951790146,53.788900664496,0.44127912412533,0.497626894506851,1
"4","5-Fluorocytosine","S1L1",0.796,3.46446654877932e-05,11339.293761303,5.76363793836454,102106.57875,56.5494381394711,5.40606091464966,1.07234428954116,1.13747898241587,1
"5","5-Fluorouracil","S1L1",0.1845,1.03643626966451e-05,3168.2166611337,18.7882799003639,23493.6145,84.1936070429135,72.8637387516009,0.267701237794953,0.291600842704145,1
"6","6-Azauracil","S1L1",0.8185,2.66782990609716e-05,30570.1657179761,7.31569471295999,99103.5245,59.3136895410956,27.8805533340492,1.01008848073221,1.23006492930881,1
"7","Azaserine*","S1L1",0.779,5.12479754280902e-05,29763.9382448828,5.68630270681997,58762.05275,35.7259394711236,-37.9741862648969,0.614266293563921,0.654615998156122,1
"8","Benzamidine","S1L1",0.537,3.01067994320468e-05,26102.9558307968,6.56354198698381,70430.779,62.240727894873,17.8393375023292,0.737990202705646,0.784606945100267,1
"9","Blasticidin hydrochloride","S1L1",0.911,3.64223504335009e-05,25324.2854629313,5.29462020782168,110840.62575,54.3199055804335,0.821326516982219,1.12386827918038,1.23477726638107,1
"10","Caffeine","S1L1",0.9245,3.5699959396233e-05,25572.4043420579,5.39344499698151,111645.42425,55.2259122054176,2.86704701120611,1.10790856320928,1.24374281385154,1
"11","CCCP","S1L1",0.611,2.59283629625399e-05,49297.6269522721,25.7815192398758,47457.47825,60.4573956242832,39.4422213274397,0.405502407790101,0.589038381059399,1
"12","Cetylpyridinium chloride","S1L1",0.0445,5.84310014388151e-06,8532.16750271077,47.727993291792,4080.268,92.6717149470402,84.261179791701,0.0400222563230862,0.0454546528680362,1
"13","Chlorpromazine hydrochloride ","S1L1",0.9805,3.7716667424351e-05,25407.8183730695,5.10512542675066,118222.5705,52.6966022612578,-2.61784672298314,1.17193147138527,1.31701297641342,1
"14","Cinnamic acid","S1L1",0.643,4.63897023613743e-05,24091.0324563071,5.31088324029897,82364.154,29.252392438609,-31.6495856251717,0.812256668179299,1.02229721676134,1
"15","Compound 48/80*","S1L1",0.043,4.7004102262916e-06,15140.5713822486,52.0113214544581,4665.29525,94.1048509941796,87.3169199830578,0.046135639502779,0.0519719234412171,1
"16","Copper(II) sulfate","S1L1",0.0755,1.64038968227503e-06,30700.9236156513,117.541385642815,2817.71,97.9426600787882,95.5333481065785,0.0293802998584859,0.0313896121364563,1
"17","Cycloheximide","S1L1",0.069,7.65063921930503e-06,4538.43938809012,26.4468177278074,8656.09,88.3322290609941,80.3030738706151,0.101773741563233,0.107438688862581,1
"18","Dequalinium Chloride","S1L1",0.2735,3.83219575138701e-06,32265.1859133924,55.0761619924941,27774.3405,95.1937461016627,89.6284400543302,0.266867782241257,0.309409334403068,1
"19","Diamide","S1L1",0.659,3.16784867082559e-05,61205.7563593634,6.09024892578114,65308.021,60.2695529893341,13.8711195103613,0.663965594023846,0.727538834226923,1
"20","DMSO control","S1L1",0.859,3.84078528875189e-05,29080.0325753541,5.11934134814103,111133.25375,41.4252826587585,0,1,1.37937695563846,1
"21","DTT","S1L1",0.095,3.93734006787458e-06,84936.3867320876,105.224223702648,5419.9335,95.0618764598722,89.4285673039413,0.0522530857703276,0.0603786799813984,1
"22","EDTA","S1L1",1.033,3.88295920765401e-05,25906.2506653872,4.96597701670142,126814.255,40.7821002902728,-2.66854494383138,1.21492197952576,1.57400827466963,1
"23","ETOH control ","S1L1",0.89,3.58139203797308e-05,28731.6284969375,5.37619932028037,106932.6605,17.5428934073248,0,1,1.1693386055618,1
"24","Fluconazole","S1L1",0.9665,3.95329549907668e-05,29134.925493582,5.04120527219335,118528.18925,39.7094216375557,-2.32369950544809,1.11892610479399,1.47116229686566,1
